Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,37435132805
2,China,Australia,22247264260
1,China,Brazil,29863442631
2,China,Brazil,18807457292
1,China,Canada,12673350929
2,China,Canada,21795876535
1,China,China,92461200149
1,China,France,15644105129
2,China,France,23498662001
1,China,Germany,55789930102
2,China,Germany,59208951160
1,China,Indonesia,14322934795
2,China,Indonesia,17193114300
1,China,Italy,11639033821
2,China,Italy,26628788111
1,China,Japan,1.51E+11
2,China,Japan,1.16E+11
1,China,Rep. of Korea,1.12E+11
2,China,Rep. of Korea,73931989519
1,China,Mexico,3690254865
2,China,Mexico,13866487521
1,China,Netherlands,5299419951
2,China,Netherlands,45918580557
1,China,Russian Federation,23832761729
2,China,Russian Federation,33075849922
1,China,Saudi Arabia,31022697923
2,China,Saudi Arabia,10823467968
1,China,India,20258886260
2,China,India,31585380667
1,China,Spain,5423981851
2,China,Spain,20818394562
1,China,United Arab Emirates,4613250116
2,China,United Arab Emirates,23643689550
1,China,Turkey,1962933289
2,China,Turkey,10606311968
1,China,United Kingdom,9541781621
2,China,United Kingdom,36072739431
1,China,USA,81585556125
2,China,USA,2.53E+11
1,Germany,Australia,2795136000
2,Germany,Australia,9752454000
1,Germany,Brazil,13777021000
2,Germany,Brazil,12761225000
1,Germany,Canada,5485737000
2,Germany,Canada,9223342000
1,Germany,China,86711078000
2,Germany,China,50173850000
1,Germany,France,98292434000
2,Germany,France,1.43E+11
1,Germany,Indonesia,4608746000
2,Germany,Indonesia,2617100000
1,Germany,Italy,67808466000
2,Germany,Italy,94391162000
1,Germany,Japan,33933942000
2,Germany,Japan,18848209000
1,Germany,Rep. of Korea,13237419000
2,Germany,Rep. of Korea,13047370000
1,Germany,Mexico,6248455000
2,Germany,Mexico,10088789000
1,Germany,Netherlands,1.06E+11
2,Germany,Netherlands,96715050000
1,Germany,Russian Federation,52840530000
2,Germany,Russian Federation,47580025000
1,Germany,Saudi Arabia,2217304000
2,Germany,Saudi Arabia,7600865000
1,Germany,India,7729072000
2,Germany,India,12002444000
1,Germany,Spain,31921824000
2,Germany,Spain,64743590000
1,Germany,United Arab Emirates,738460000
2,Germany,United Arab Emirates,11857675000
1,Germany,Turkey,14214263000
2,Germany,Turkey,22383195000
1,Germany,United Kingdom,65135249000
2,Germany,United Kingdom,98710652000
1,Germany,USA,67638710000
2,Germany,USA,1.05E+11
1,Japan,Australia,47531823339
2,Japan,Australia,17296006140
1,Japan,Brazil,9109977599
2,Japan,Brazil,5914509522
1,Japan,Canada,12775759840
2,Japan,Canada,10765195945
1,Japan,China,1.43E+11
2,Japan,China,1.25E+11
1,Japan,France,10642732384
2,Japan,France,9111878407
1,Japan,Germany,20852098009
2,Japan,Germany,23955460877
1,Japan,Indonesia,32624148214
2,Japan,Indonesia,12572841167
1,Japan,Italy,7962315340
2,Japan,Italy,6804703697
1,Japan,Rep. of Korea,29475955878
2,Japan,Rep. of Korea,59492555213
1,Japan,Mexico,3812946490
2,Japan,Mexico,9948898621
1,Japan,Netherlands,3822934514
2,Japan,Netherlands,21075283154
1,Japan,Russian Federation,13417764905
2,Japan,Russian Federation,16534097871
1,Japan,Saudi Arabia,51116474051
2,Japan,Saudi Arabia,7850441316
1,Japan,India,5256077919
2,Japan,India,7895493337
1,Japan,Spain,2503835099
2,Japan,Spain,4450050741
1,Japan,United Arab Emirates,47052340646
2,Japan,United Arab Emirates,10842324622
1,Japan,Turkey,418876696
2,Japan,Turkey,3103939230
1,Japan,United Kingdom,7473342157
2,Japan,United Kingdom,16463761777
1,Japan,USA,78937218521
2,Japan,USA,1.39E+11
1,United Arab Emirates,Australia,3321107590
2,United Arab Emirates,Australia,147522210
1,United Arab Emirates,Brazil,1169656505
2,United Arab Emirates,Brazil,28666832
1,United Arab Emirates,Canada,1243673095
2,United Arab Emirates,Canada,289622425
1,United Arab Emirates,China,17356073355
2,United Arab Emirates,China,1142448134
1,United Arab Emirates,France,3835326345
2,United Arab Emirates,France,555026183
1,United Arab Emirates,Germany,10101613516
2,United Arab Emirates,Germany,509464992
1,United Arab Emirates,Indonesia,1703065685
2,United Arab Emirates,Indonesia,175319470
1,United Arab Emirates,Italy,5918465976
2,United Arab Emirates,Italy,703527292
1,United Arab Emirates,Japan,11610283621
2,United Arab Emirates,Japan,34486284161
1,United Arab Emirates,Rep. of Korea,4243158557
2,United Arab Emirates,Rep. of Korea,239325333
1,United Arab Emirates,Mexico,296948601
2,United Arab Emirates,Mexico,6793251
1,United Arab Emirates,Netherlands,1431899028
2,United Arab Emirates,Netherlands,310703200
1,United Arab Emirates,Russian Federation,756433027
2,United Arab Emirates,Russian Federation,406608177
1,United Arab Emirates,Saudi Arabia,4396066575
2,United Arab Emirates,Saudi Arabia,1481884141
1,United Arab Emirates,India,16873675399
2,United Arab Emirates,India,15242248065
1,United Arab Emirates,Spain,1351181492
2,United Arab Emirates,Spain,89595682
1,United Arab Emirates,Turkey,7474448441
2,United Arab Emirates,Turkey,525017149
1,United Arab Emirates,United Kingdom,7624403815
2,United Arab Emirates,United Kingdom,502743179
1,United Arab Emirates,USA,12244200375
2,United Arab Emirates,USA,1230162681
1,USA,Australia,10925971419
2,USA,Australia,22428309672
1,USA,Brazil,32072884601
2,USA,Brazil,32909857685
1,USA,Canada,3.39E+11
2,USA,Canada,2.61E+11
1,USA,China,3.56E+11
2,USA,China,71456411759
1,USA,France,44886713687
2,USA,France,29948924893
1,USA,Germany,99758479283
2,USA,Germany,54672136757
1,USA,Indonesia,16712682902
2,USA,Indonesia,5913098423
1,USA,Italy,37492843241
2,USA,Italy,15478024288
1,USA,Japan,1.43E+11
2,USA,Japan,66573421903
1,USA,Rep. of Korea,49823393852
2,USA,Rep. of Korea,34806587291
1,USA,Mexico,2.18E+11
2,USA,Mexico,1.52E+11
1,USA,Netherlands,21813287951
2,USA,Netherlands,40220700872
1,USA,Russian Federation,27931764911
2,USA,Russian Federation,9335368054
1,USA,Saudi Arabia,57005380622
2,USA,Saudi Arabia,12477994627
1,USA,India,26931322410
2,USA,India,18666534232
1,USA,Spain,11572987249
2,USA,Spain,12283005454
1,USA,United Arab Emirates,1347550414
2,USA,United Arab Emirates,15748648780
1,USA,Turkey,4949657147
2,USA,Turkey,10439710423
1,USA,United Kingdom,59740052569
2,USA,United Kingdom,53771991748
1,Australia,Australia,740980710
1,Australia,Brazil,1166229503
2,Australia,Brazil,1331244009
1,Australia,Canada,2384216111
2,Australia,Canada,1294341301
1,Australia,China,31588260655
2,Australia,China,27225181982
1,Australia,France,4382430994
2,Australia,France,1478794428
1,Australia,Germany,10003689063
2,Australia,Germany,1547095730
1,Australia,Indonesia,4683532985
2,Australia,Indonesia,3587340413
