Data Source,United Arab Emirates,Australia,Brazil,Canada,China,Germany,Spain,France,United Kingdom,Indonesia,India,Italy,Japan,"Korea, Rep.",Mexico,Netherlands,Russian Federation,Saudi Arabia,Turkey,United States
2001,3.28336E+11,6.90688E+11,2.02085E+12,1.17216E+12,5.06243E+12,3.07372E+12,1.26434E+12,2.1638E+12,2.00716E+12,1.27291E+12,3.00174E+12,2.1173E+12,4.31387E+12,1.01989E+12,1.5888E+12,6.78905E+11,2.16469E+12,8.83521E+11,8.2437E+11,1.31053E+13
2002,3.36326E+11,7.18337E+11,2.08255E+12,1.20745E+12,5.52466E+12,3.07372E+12,1.30076E+12,2.188E+12,2.05649E+12,1.33019E+12,3.11592E+12,2.12256E+12,4.31896E+12,1.09569E+12,1.58817E+12,6.79608E+11,2.26738E+12,8.58613E+11,8.77378E+11,1.33394E+13
2003,3.65924E+11,7.39784E+11,2.10631E+12,1.22921E+12,6.07909E+12,3.05189E+12,1.34222E+12,2.20593E+12,2.12489E+12,1.39377E+12,3.36085E+12,2.12577E+12,4.38496E+12,1.12783E+12,1.61114E+12,6.81538E+11,2.4328E+12,9.55139E+11,9.26585E+11,1.37138E+13
2004,4.0093E+11,7.69384E+11,2.22764E+12,1.26714E+12,6.69376E+12,3.0876E+12,1.38472E+12,2.2674E+12,2.17513E+12,1.46389E+12,3.62712E+12,2.1594E+12,4.48163E+12,1.1831E+12,1.6743E+12,6.95378E+11,2.60738E+12,1.03115E+12,1.01595E+12,1.42329E+13
2005,4.20396E+11,7.9393E+11,2.29897E+12,1.30771E+12,7.45657E+12,3.10942E+12,1.43628E+12,2.30385E+12,2.24248E+12,1.54723E+12,3.91452E+12,2.17991E+12,4.55615E+12,1.22952E+12,1.71294E+12,7.104E+11,2.77363E+12,1.08863E+12,1.10748E+12,1.47091E+13
2006,4.61752E+11,8.16431E+11,2.39005E+12,1.34201E+12,8.405E+12,3.22448E+12,1.49623E+12,2.35857E+12,2.29755E+12,1.63234E+12,4.23006E+12,2.22365E+12,4.62085E+12,1.29316E+12,1.78994E+12,7.35397E+11,2.99978E+12,1.11898E+12,1.18622E+12,1.51013E+13
2007,4.76455E+11,8.47271E+11,2.53513E+12,1.3697E+12,9.60115E+12,3.32961E+12,1.55262E+12,2.41427E+12,2.3517E+12,1.73591E+12,4.55411E+12,2.25642E+12,4.69728E+12,1.36381E+12,1.83096E+12,7.62595E+11,3.25581E+12,1.13965E+12,1.24589E+12,1.53699E+13
2008,4.91663E+11,8.78262E+11,2.66427E+12,1.3834E+12,1.05281E+13,3.36565E+12,1.56997E+12,2.41898E+12,2.34059E+12,1.8403E+12,4.69468E+12,2.23272E+12,4.64592E+12,1.40239E+12,1.8519E+12,7.75552E+11,3.42667E+12,1.21088E+12,1.25642E+12,1.53251E+13
2009,4.65886E+11,8.95148E+11,2.66092E+12,1.34259E+12,1.15177E+13,3.17654E+12,1.51387E+12,2.34783E+12,2.24257E+12,1.92549E+12,5.06378E+12,2.11032E+12,4.39427E+12,1.41232E+12,1.75401E+12,7.46333E+11,3.15868E+12,1.18594E+12,1.19732E+12,1.48997E+13
2010,4.73353E+11,9.13525E+11,2.86124E+12,1.38399E+12,1.27427E+13,3.30614E+12,1.51408E+12,2.39398E+12,2.29152E+12,2.04533E+12,5.49407E+12,2.14591E+12,4.57847E+12,1.50407E+12,1.84378E+12,7.65999E+11,3.30093E+12,1.24571E+12,1.29894E+12,1.53052E+13
2011,5.06158E+11,9.35917E+11,2.97496E+12,1.42747E+12,1.39579E+13,3.42714E+12,1.49896E+12,2.44648E+12,2.32921E+12,2.17152E+12,5.78204E+12,2.15829E+12,4.57319E+12,1.55945E+12,1.91132E+12,7.77881E+11,3.47538E+12,1.37024E+12,1.4433E+12,1.55426E+13
2012,5.28857E+11,9.72342E+11,3.03211E+12,1.45238E+12,1.50545E+13,3.444E+12,1.45507E+12,2.45414E+12,2.36292E+12,2.30246E+12,6.09753E+12,2.09744E+12,4.64156E+12,1.5952E+12,1.98094E+12,7.69866E+11,3.60244E+12,1.44439E+12,1.51243E+12,1.58922E+13
2013,5.55582E+11,9.98007E+11,3.12322E+12,1.48833E+12,1.62224E+13,3.46086E+12,1.43025E+12,2.46828E+12,2.41127E+12,2.43042E+12,6.48692E+12,2.0612E+12,4.7344E+12,1.6414E+12,2.00776E+12,7.68864E+11,3.66676E+12,1.48338E+12,1.64085E+12,1.6185E+13
2014,5.8002E+11,1.02354E+12,3.13896E+12,1.53083E+12,1.74062E+13,3.53624E+12,1.44999E+12,2.49188E+12,2.48235E+12,2.5521E+12,6.96762E+12,2.06354E+12,4.75214E+12,1.69624E+12,2.06406E+12,7.79808E+11,3.69384E+12,1.53756E+12,1.72563E+12,1.65818E+13
2015,6.09396E+11,1.0476E+12,3.02766E+12,1.54615E+12,1.86073E+13,3.59774E+12,1.50284E+12,2.51961E+12,2.54066E+12,2.67655E+12,7.52476E+12,2.08261E+12,4.81648E+12,1.74357E+12,2.13193E+12,7.95086E+11,3.58937E+12,1.6007E+12,1.83065E+12,1.70595E+13
2016,6.27608E+11,1.07722E+12,2.92758E+12,1.56802E+12,1.9854E+13,3.67841E+12,1.55052E+12,2.54912E+12,2.58612E+12,2.81126E+12,8.1395E+12,2.10646E+12,4.86167E+12,1.79465E+12,2.19371E+12,8.12512E+11,3.5813E+12,1.62744E+12,1.88893E+12,1.73269E+13
