DATE,USA,China,Japan,Germany,United Arab Emirates,France,United Kingdom,Italy,Brazil,Canada,Republic of Korea,Russia,Spain,Australia,Mexico,Indonesia,Netherland,Saudi Arabia,India,Turkey
2001,112.2257297,75.66337876,160.4617003,105.2955816,96.174167,103.0832608,127.9025,98.62091285,79.28964458,88.66406444,90.39461835,83.62868002,93.14755272,75.05,134.9617843,79.07415496,97.57110613,119.3825,84.49822301,79.10722348
2002,112.449891,74.45247833,149.8824515,105.6946728,95.564167,104.0963209,128.450833,100.6847808,76.31358502,87.75080156,95.0905388,85.57075805,95.85551543,74.46,135.3579795,95.97748984,101.7112482,115.699167,84.73075694,86.31504899
2003,105.8979066,69.94776512,150.9585692,109.6168137,88.338333,108.3950944,122.99,105.4859345,73.18814639,97.20068732,96.48482255,85.7649234,100.439315,73.54,120.7248926,103.252657,109.1436473,104.701667,84.83132637,91.30258058
2004,101.4038581,68.03448145,152.9444034,110.5454116,85.5375,109.7498506,127.6075,106.7432202,76.39801092,102.3272361,98.21661952,91.97634216,102.565047,75.43,115.762426,98.55271594,110.7870222,97.0325,84.99703913,94.25558574
2005,99.57719167,67.01621969,143.9371073,108.4269163,87.455833,108.6228127,124.826667,105.3521814,94.69736178,108.506511,110.3841022,102.0905472,103.2112749,78.44,119.9209477,97.04887107,108.5552699,94.068334,87.62198888,104.2302996
2006,98.65185651,68.1901698,129.8757002,107.6213635,92.529167,108.0463868,125.140833,104.8984297,106.1210451,114.6475611,118.6542884,112.6565284,104.6909717,77.13,119.9294742,111.9335833,106.639938,93.044167,87.03619646,103.0833972
2007,94.31175009,71.00152676,118.8688302,108.3973625,94.325833,108.1322257,127.035834,104.949566,114.7642931,118.8948184,118.0529894,117.924538,106.1941793,74.82,118.8017586,110.8825259,107.3089371,89.458333,93.92294863,111.3587591
2008,90.86846717,77.13364328,127.8391599,107.709824,98.865,108.666323,110.239167,105.2090624,120.8843847,116.2971992,95.90326799,125.3584339,108.29616,71.97,116.6536228,105.7616331,107.2129294,91.1475,89.25748955,112.0843775
2009,94.91073557,80.01584137,142.22573,108.696247,104.735,109.0043558,99.518333,106.8648831,120.476742,110.4889219,83.78513226,114.8930602,108.2671061,70.31,102.5522344,104.9055576,108.7779808,99.055,89.82891126,105.7465148
2010,90.2062569,77.97335636,140.682678,103.9448632,100.001667,105.8422876,99.999167,102.496461,137.2665426,121.1105219,89.62193116,127.1631885,105.0056076,70,110.7065343,116.470791,102.1896508,100.001667,99.2108091,116.0253421
2011,85.96927395,79.31199806,141.8325219,102.8204135,93.4975,104.9512306,100.474167,102.1718654,143.939898,123.7868048,89.27015527,132.1215739,105.441245,69.24,110.8445327,115.4589853,101.0997445,97.585,98.13563484,102.532368
2012,87.78684789,83.53094074,139.6218285,100.2322696,95.016667,102.5276823,104.511667,100.5693173,130.215346,122.8285571,88.61634172,134.715375,103.2169983,70.56,107.649667,110.3868906,97.59436971,100.584167,92.95413917,106.4258026
2013,87.94666316,89.03617745,112.1903839,101.8730865,95.28,103.0806095,103.091667,101.6692723,123.3301516,118.4365241,93.19670074,136.4664514,104.6463536,74.13,113.5543734,105.3495429,100.8687639,102.951667,91.69767674,104.6073875
2014,90.05633024,91.30034057,106.4690169,103.0536066,97.1075,103.2444097,110.246666,102.5594261,120.8584188,111.2522547,99.06255337,122.949578,104.4268592,76.51,112.2604942,98.56492538,102.9067762,104.786667,93.48991758,99.8598024
2015,97.20334097,93.72584274,109.5254029,102.1780104,104.29875,101.9426921,106.744583,101.6796461,112.9637348,104.3896377,98.67738432,110.7267713,102.5578164,76.065,99.67084611,101.7107937,102.131577,111.05375,97.26340494,100
2016,104.3503517,96.1513449,112.5817888,101.3024141,111.49,100.6409744,103.2425,100.7998661,105.0690508,97.52702064,98.29221527,98.50396469,100.6887736,75.62,87.08119801,104.8566621,101.3563778,117.320833,101.0368923,98.06114092
2017,104.1167099,92.70144795,106.8999995,101.4619539,111.3975,100.6988288,98.050834,100.3436306,114.5798757,98.93463284,100.9422381,114.2596293,101.6295342,75.5,88.67255263,106.5383184,101.0536972,114.223333,105.4211499,86.46398975
2018,103.3275664,93.80794838,106.4871762,102.8509695,111.105,102.1331292,99.788333,101.7829902,101.4078313,98.43321337,102.3343962,105.4205043,103.552684,75.94,88.30954778,100.4521045,104.2175802,113.145833,101.9312787,73.63021596
